8.50,0.26,0.21,16.20,0.07,41.00,197.00,1.00,3.02,0.50,9.80,3.00
5.80,0.24,0.44,3.50,0.03,5.00,109.00,0.99,3.53,0.43,11.70,3.00
9.10,0.59,0.38,1.60,0.07,34.00,182.00,1.00,3.23,0.38,8.50,3.00
7.10,0.32,0.32,11.00,0.04,16.00,66.00,0.99,3.24,0.40,11.50,3.00
6.90,0.39,0.40,4.60,0.02,5.00,19.00,0.99,3.31,0.37,12.60,3.00
10.30,0.17,0.47,1.40,0.04,5.00,33.00,0.99,2.89,0.28,9.60,3.00
7.90,0.64,0.46,10.60,0.24,33.00,227.00,1.00,2.87,0.74,9.10,3.00
8.30,0.33,0.42,1.15,0.03,18.00,96.00,0.99,3.20,0.32,12.40,3.00
8.60,0.55,0.35,15.55,0.06,35.50,366.50,1.00,3.04,0.63,11.00,3.00
7.50,0.32,0.24,4.60,0.05,8.00,134.00,1.00,3.14,0.50,9.10,3.00
6.20,0.45,0.26,4.40,0.06,63.00,206.00,0.99,3.27,0.52,9.80,4.00
9.80,0.36,0.46,10.50,0.04,4.00,83.00,1.00,2.89,0.30,10.10,4.00
5.50,0.49,0.00,1.50,0.07,8.00,103.00,0.99,3.63,0.40,9.70,4.00
6.40,0.60,0.14,5.20,0.06,15.00,97.00,1.00,3.38,0.36,9.00,4.00
7.60,0.48,0.37,0.80,0.04,4.00,100.00,0.99,3.03,0.39,11.40,4.00
7.20,0.32,0.47,5.10,0.04,19.00,65.00,0.99,3.03,0.41,12.60,4.00
6.00,0.67,0.07,1.20,0.06,9.00,108.00,0.99,3.11,0.35,8.70,4.00
6.50,0.28,0.28,8.50,0.05,54.00,210.00,1.00,3.09,0.54,8.90,4.00
5.80,0.28,0.35,2.30,0.05,36.00,114.00,0.99,3.28,0.50,10.20,4.00
10.20,0.44,0.88,6.20,0.05,20.00,124.00,1.00,2.99,0.51,9.90,4.00
6.80,0.64,0.08,9.70,0.06,26.00,142.00,1.00,3.37,0.46,8.90,4.00
5.90,0.21,0.28,4.60,0.05,40.00,199.00,1.00,3.72,0.70,10.00,4.00
5.80,0.36,0.38,0.90,0.04,3.00,75.00,0.99,3.28,0.34,11.40,4.00
6.80,0.32,0.34,1.20,0.04,14.00,67.00,0.99,3.05,0.47,10.60,4.00
6.80,0.44,0.37,5.10,0.05,46.00,201.00,0.99,3.08,0.65,10.50,4.00
7.20,0.55,0.09,1.50,0.11,16.00,151.00,0.99,3.07,0.57,9.20,4.00
7.20,0.40,0.62,10.80,0.04,70.00,189.00,1.00,3.08,0.49,8.60,4.00
7.20,0.40,0.62,10.80,0.04,70.00,189.00,1.00,3.08,0.49,8.60,4.00
7.20,0.31,0.46,5.00,0.04,3.00,29.00,0.99,3.04,0.53,12.50,4.00
6.70,0.31,0.31,9.90,0.04,10.00,175.00,1.00,3.46,0.55,11.40,4.00
7.60,0.56,0.12,10.40,0.10,22.00,177.00,1.00,3.32,0.45,9.10,4.00
6.10,0.28,0.25,12.90,0.05,34.00,189.00,1.00,3.25,0.43,9.00,4.00
6.50,0.33,0.72,1.10,0.06,7.00,151.00,0.99,3.09,0.57,9.50,4.00
6.80,0.29,0.16,1.40,0.04,122.50,234.50,0.99,3.15,0.47,10.00,4.00
7.00,0.57,0.10,8.30,0.09,23.00,188.00,1.00,3.40,0.47,9.20,4.00
6.80,0.67,0.30,13.00,0.29,22.00,193.00,1.00,3.08,0.67,9.00,4.00
6.90,0.20,0.34,1.90,0.04,25.00,136.00,0.99,3.31,0.60,10.10,4.00
6.60,0.38,0.18,1.20,0.04,20.00,84.00,0.99,3.22,0.45,10.10,4.00
6.00,0.40,0.00,1.40,0.04,7.00,55.00,0.99,3.37,0.38,11.20,4.00
7.40,0.17,0.40,5.50,0.04,34.00,161.00,0.99,3.05,0.62,11.50,4.00
8.40,0.19,0.42,1.60,0.05,9.00,101.00,0.99,3.06,0.65,11.10,4.00
8.30,0.27,0.45,1.30,0.05,8.00,72.00,0.99,3.08,0.61,10.30,4.00
8.00,0.23,0.37,9.60,0.05,23.00,159.00,1.00,3.32,0.47,9.80,4.00
8.00,0.32,0.26,1.20,0.05,11.50,88.00,0.99,3.24,0.37,9.50,4.00
6.80,0.71,0.25,3.20,0.05,10.00,57.00,1.00,3.36,0.52,9.50,4.00
8.20,0.26,0.44,1.30,0.05,7.00,69.00,0.99,3.14,0.62,10.20,4.00
7.00,0.24,0.18,1.30,0.05,9.00,62.00,0.99,3.38,0.47,10.10,4.00
8.00,0.55,0.17,8.20,0.04,13.00,60.00,1.00,3.09,0.30,9.50,4.00
6.30,0.60,0.44,11.00,0.05,50.00,245.00,1.00,3.19,0.57,9.30,4.00
8.20,0.68,0.30,2.10,0.05,17.00,138.00,1.00,3.22,0.71,10.80,4.00
7.30,0.49,0.32,5.20,0.04,18.00,104.00,1.00,3.24,0.45,10.70,4.00
9.40,0.29,0.55,2.20,0.05,17.00,119.00,1.00,3.12,0.69,10.30,4.00
5.30,0.30,0.20,1.10,0.08,48.00,166.00,0.99,3.30,0.54,8.70,4.00
9.20,0.22,0.40,2.40,0.05,18.00,151.00,1.00,3.04,0.46,9.30,4.00
6.50,0.52,0.17,1.40,0.05,5.00,26.00,0.99,3.26,0.32,10.00,4.00
6.10,0.60,0.00,1.30,0.04,24.00,79.00,0.99,3.31,0.38,9.40,4.00
7.90,0.16,0.30,4.80,0.04,37.00,171.00,1.00,3.47,0.44,9.00,4.00
7.60,0.33,0.36,2.10,0.03,26.00,172.00,0.99,3.42,0.48,10.50,4.00
8.00,0.66,0.72,17.55,0.04,62.00,233.00,1.00,2.92,0.68,9.40,4.00
6.90,0.39,0.22,4.30,0.03,10.00,102.00,0.99,3.00,0.87,11.60,4.00
6.90,0.41,0.22,4.20,0.03,10.00,102.00,0.99,3.00,0.86,11.60,4.00
9.20,0.35,0.39,0.90,0.04,15.00,61.00,0.99,2.96,0.28,10.40,4.00
6.90,0.32,0.16,1.40,0.05,15.00,96.00,0.99,3.22,0.38,9.50,4.00
6.30,0.39,0.24,6.90,0.07,9.00,117.00,0.99,3.15,0.35,10.20,4.00
9.20,0.28,0.49,11.80,0.04,29.00,137.00,1.00,3.10,0.34,10.10,4.00
9.80,0.25,0.74,10.00,0.06,36.00,225.00,1.00,3.06,0.43,10.00,4.00
7.00,0.39,0.24,1.00,0.05,8.00,119.00,0.99,3.00,0.31,10.10,4.00
6.90,0.25,0.24,3.60,0.06,13.00,85.00,0.99,2.99,0.48,9.50,4.00
6.90,0.25,0.24,3.60,0.06,13.00,85.00,0.99,2.99,0.48,9.50,4.00
7.10,0.53,0.24,0.80,0.03,29.00,86.00,0.99,3.16,0.32,9.10,4.00
6.20,0.43,0.49,6.40,0.05,12.00,115.00,1.00,3.27,0.57,9.00,4.00
